const_code,constituency,win_party,win_votes,second_party,second_votes,margin
270,Bindki,BSP,42059,BJP,31405,10654
271,Arya Nagar,SP,36376,BJP,13173,23203
272,Sishamau,INC,25775,BJP,24411,1364
273,Generalganj,BJP,29461,SP,26977,2484
274,Kanpur Cantonment,BJP,47381,SP,20845,26536
275,Govind Nagar,INC,110478,BJP,70018,40460
276,Kalyanpur,BJP,42349,BSP,41675,674
277,Sarsaul,SP,57046,BSP,56704,342
278,Ghatampur,BSP,65793,SP,63316,2477
279,Bhognipur,BSP,36829,SP,33733,3096
280,Rajpur,BSP,45251,SP,25418,19833
281,Sarvankhera,SP,46145,BSP,43001,3144
282,Chaubepur,BSP,41703,SP,31435,10268
283,Bilhaur,BSP,52729,SP,48770,3959
284,Derapur,BSP,43656,BJP,40093,3563
285,Auraiya,BSP,53435,SP,47177,6258
286,Ajitmal,BSP,45937,SP,36710,9227
287,Lakhana,BSP,50725,SP,43855,6870
288,Etawah,BSP,76093,SP,43266,32827
289,Jaswantnagar,SP,73211,BSP,42404,30807
290,Bharthana,BSP,61396,SP,45620,15776
291,Bidhuna,BSP,73494,SP,46210,27284
292,Kannauj,SP,49740,BSP,41327,8413
293,Umardha,BSP,44416,SP,41480,2936
294,Chhibramau,SP,45708,BSP,40888,4820
295,Kamalganj,BSP,51164,BJP,34184,16980
296,Farrukhabad,BSP,65696,INC,51034,14662
297,Kaimganj,BSP,36978,INC,27325,9653
298,Mohammdabad,SP,48031,BSP,44760,3271
299,Manikpur,BSP,44686,SP,38374,6312
300,Karwi,BSP,50518,SP,49162,1356
301,Baberu,SP,32568,BSP,32394,174
302,Tindwari,SP,33725,JM,26512,7213
303,Banda,INC,34524,BSP,34293,231
304,Naraini,BSP,31694,RLD,27251,4443
305,Hamirpur,SP,43672,BSP,36576,7096
306,Maudaha,BSP,51752,SP,34203,17549
307,Rath,BSP,42601,SP,33420,9181
308,Charkhari,BSP,39330,SP,32386,6944
309,Mahoba,BSP,32017,SP,27556,4461
310,Mehroni,BSP,71097,INC,46861,24236
311,Lalitpur,BSP,83888,SWP,69221,14667
312,Jhansi,BSP,35944,IND,35935,9
313,Babina,BSP,62771,SP,33973,28798
314,Mauranipur,BSP,46330,INC,35584,10746
315,Garoutha,SP,57981,INC,45360,12621
316,Konch,BSP,33772,BJP,31820,1952
317,Orai,INC,38982,BSP,35889,3093
318,Kalpi,BSP,46275,SP,44145,2130
319,Madhogarh,BSP,51135,BJP,47833,3302
320,Bhongaon,SP,39224,BSP,34107,5117
321,Kishni,SP,41012,BSP,35409,5603
322,Karhal,SP,52471,BSP,35142,17329
323,Shikohabad,IND,58240,SP,40267,17973
324,Jasrana,IND,40649,SP,32836,7813
325,Ghiror,BSP,47528,SP,45219,2309
326,Mainpuri,BJP,49367,SP,44898,4469
327,Aliganj,BSP,57149,SP,45784,11365
328,Patiali,BSP,39335,SP,28956,10379
329,Sakit,SP,24627,BSP,24269,358
330,Soron,BSP,28578,BJP,23366,5212
331,Kasganj,BSP,35105,BJP,32733,2372
332,Etah,BJP,48529,SP,27601,20928
333,Nidhauli Kalan,SP,29829,BSP,22567,7262
334,Jalesar,BJP,31038,BSP,30966,72
335,Firozabad,BSP,42700,SP,32506,10194
336,Bah,BSP,38877,BJP,34254,4623
337,Fatehabad,BJP,38672,SP,33567,5105
338,Tundla,BSP,50002,BJP,28178,21824
339,Etmadpur,BSP,47539,BJP,37916,9623
340,Dayalbagh,JM,56708,BSP,53759,2949
341,Agra Cantonment,BSP,30524,BJP,27149,3375
342,Agra East,BJP,31200,BSP,22937,8263
343,Agra West,BSP,39951,BJP,34577,5374
344,Kheragarh,BSP,46829,BJP,33609,13220
345,Fatehpur Sikri,BSP,44856,BJP,43407,1449
346,Goverdhan,RLD,43963,BSP,38100,5863
347,Mathura,INC,45383,BJP,24293,21090
348,Chhata,BSP,55591,RLD,29633,25958
349,Mat,ABLTC,46932,RLD,35394,11538
350,Gokul,BSP,48916,RLD,39874,9042
351,Sadabad,RLD,55578,BSP,39832,15746
352,Hathras,BSP,56698,RLD,41288,15410
353,Sasni,BSP,37506,SP,31751,5755
354,Sikandra Rao,BJP,40510,SP,38367,2143
355,Gangiri,BJP,37575,BSP,35998,1577
356,Atrauli,BJP,50390,BSP,29240,21150
357,Aligarh,SP,44541,BJP,36689,7852
358,Koil,BSP,54161,BJP,49926,4235
359,Iglas,RLD,53522,BSP,46822,6700
360,Barauli,BSP,49028,RLD,44327,4701
361,Khair,RLD,62483,BSP,48704,13779
362,Jewar,BSP,46125,INC,40491,5634
363,Khurja,BSP,37807,BJP,20737,17070
364,Debai,BSP,67223,BJP,51519,15704
365,Anupshahr,BSP,40478,IND,30013,10465
366,Siana,BJP,33252,INC,28995,4257
367,Agota,BJP,35403,SP,32850,2553
368,Bulandshahr,BSP,39571,SP,36398,3173
369,Shikarpur,BSP,30418,RLD,26144,4274
370,Sikandrabad,BSP,48897,SP,38679,10218
371,Dadri,BSP,75346,BJP,50923,24423
372,Ghaziabad,BJP,88506,BSP,62851,25655
373,Muradnagar,BSP,58687,RLD,51834,6853
374,Modinagar,BSP,32434,SP,31155,1279
375,Hapur,BSP,39802,INC,30357,9445
376,Garhmukteshwar,SP,45606,BJP,38296,7310
377,Kithore,SP,43701,BSP,40276,3425
378,Hastinapur,BSP,34200,INC,27174,7026
379,Sardhana,BSP,37469,RLD,28134,9335
380,Meerut Cantonment,BJP,56800,BSP,40621,16179
381,Meerut,UPUDF,48502,BJP,47413,1089
382,Kharkhauda,BSP,62464,UPUDF,35045,27419
383,Siwalkhas,BSP,42171,RLD,24705,17466
384,Khekra,RLD,63469,BSP,51934,11535
385,Baghpat,RLD,38169,SP,36636,1533
386,Barnawa,RLD,33730,SP,31802,1928
387,Chhaprauli,RLD,47487,BSP,32059,15428
388,Kandhla,BSP,52725,RLD,33949,18776
389,Khatauli,BSP,38205,RLD,22184,16021
390,Jansath,BSP,43623,BJP,26450,17173
391,Morna,RLD,54161,BSP,49577,4584
392,Muzaffarnagar,BJP,49817,SP,38556,11261
393,Charthawal,BSP,35417,BJP,33544,1873
394,Baghra,INC,37649,RLD,26188,11461
395,Kairana,BJP,53483,RLD,44983,8500
396,Thana Bhawan,RLD,41204,BSP,35801,5403
397,Nakur,BSP,71246,SP,50808,20438
398,Sarsawa,BSP,68440,SP,31767,36673
399,Nagal,BSP,61323,SP,38424,22899
400,Deoband,BSP,53577,BJP,36116,17461
401,Harora,BSP,82343,SP,52189,30154
402,Saharanpur,BJP,76049,SP,57858,18191
403,Muzaffarabad,IND,43835,SP,40152,3683
