const_code,constituency,win_party,win_votes,second_party,second_votes,None of the Above,margin,percent
377,Zahoorabad,Suheldev Bhartiya Samaj Party,86583,BSP,68502,1500,18081,7.84
378,Mohammadabad,BJP,122156,BSP,89429,2283,32727,14.22
379,Zamania,BJP,76823,BSP,67559,1857,9264,4.26
380,Mughalsarai,BJP,87401,SP,74158,1950,13243,5.69
381,Sakaldiha,SP,79875,BJP,64906,1787,14969,7.4
382,Saiyadraja,BJP,78869,BSP,64375,1463,14494,7.33
383,Chakia,BJP,96890,BSP,76827,3162,20063,8.55
384,Pindra,BJP,90614,BSP,53765,2889,36849,18.03
385,Ajagara,Suheldev Bhartiya Samaj Party,83778,SP,62429,2350,21349,9.71
386,Shivpur,BJP,110453,SP,56194,812,54259,23.81
387,Rohaniya,BJP,119885,SP,62332,2190,57553,24.62
388,Varanasi North,BJP,116017,INC,70515,1115,45502,19.98
389,Varanasi South,BJP,92560,INC,75334,457,17226,9.63
390,Varanasi Cantt.,BJP,132609,INC,71283,758,61326,26.94
391,Sevapuri,Apna Dal (Soneylal),103423,SP,54241,1626,49182,23.82
392,Bhadohi,BJP,79519,SP,78414,830,1105,0.46
393,Gyanpur,Nirbal Indian Shoshit Hamara Aam Dal,66448,BJP,46218,1034,20230,9.68
394,Aurai,BJP,83325,SP,63546,2480,19779,9.6
395,Chhanbey,Apna Dal (Soneylal),107007,BSP,43539,4397,63468,29.41
396,Mirzapur,BJP,109196,SP,51784,1327,57412,25.49
397,Majhawan,BJP,107839,BSP,66680,1655,41159,17.14
398,Chunar,BJP,105608,SP,43380,2541,62228,28.73
399,Marihan,BJP,106517,INC,59919,2614,46598,19.55
400,Ghorawal,BJP,114305,SP,56656,5225,57649,24.12
401,Robertsganj,BJP,89932,SP,49394,1163,40538,19.93
402,Obra,BJP,78058,SP,33789,4305,44269,27.19
403,Duddhi,Apna Dal (Soneylal),64399,BSP,63314,8522,1085,0.55
