const_code,constituency,win_party,win_votes,second_party,second_votes,margin,percent
254,Phaphamau,SP,51950,BSP,46654,5296,2.97
255,Soraon,SP,61153,BSP,47852,13301,7.15
256,Phulpur,SP,72898,BSP,64998,7900,4.2
257,Pratappur,SP,62582,BSP,49774,12808,7
258,Handia,SP,81655,BSP,54838,26817,14.7
259,Meja,SP,44823,BSP,44083,740,0.47
260,Karachhana,BSP,68341,SP,67937,404,0.23
261,Allahabad West,BSP,71114,AD,62229,8885,5.01
262,Allahabad North,INC,54787,BSP,38695,16092,11.09
263,Allahabad South,SP,43040,BSP,42626,414,0.28
264,Bara,SP,46182,BSP,42426,3756,2.18
265,Koraon,BSP,44755,CPM,36982,7773,4.31
266,Kursi,SP,80183,BSP,56246,23937,10.2
267,Ramnagar,SP,77428,BSP,45204,32224,15.97
268,Barabanki,SP,82343,BSP,59573,22770,10.7
269,Zaidpur,SP,76869,BSP,53828,23041,10.13
270,Dariyabad,SP,84147,BSP,64253,19894,8.44
271,Rudauli,BJP,61173,SP,60232,941,0.5
272,Haidergarh,SP,60232,BSP,51792,8440,4.48
273,Milkipur,SP,73803,BSP,39566,34237,19.6
274,Bikapur,SP,55232,BSP,53364,1868,0.93
275,Ayodhya,SP,55262,BJP,49857,5405,2.81
276,Goshainganj,SP,122235,BSP,63554,58681,28.06
277,Katehari,SP,94641,BSP,77021,17620,8.72
278,Tanda,SP,83249,BSP,55728,27521,15.64
279,Alapur,SP,79846,BSP,49823,30023,18.1
280,Jalalpur,SP,89267,BSP,72003,17264,8.11
281,Akbarpur,SP,91126,BSP,64840,26286,14.8
282,Balha,BJP,58823,BSP,38895,19928,11.25
283,Nanpara,INC,46987,BSP,42665,4322,2.62
284,Matera,SP,41944,INC,39143,2801,1.75
285,Mahasi,BSP,40546,BJP,38057,2489,1.54
286,Bahraich,SP,50759,INC,35263,15496,9.01
287,Payagpur,INC,65176,BSP,38130,27046,14.45
288,Kaiserganj,BJP,45262,SP,38294,6968,3.73
289,Bhinga,SP,65365,INC,58538,6827,3.31
290,Shrawasti,SP,67551,BSP,56346,11205,5.69
291,Tulsipur,SP,67105,BSP,33395,33710,19.77
292,Gainsari,SP,56744,BSP,33044,23700,14.1
293,Utraula,SP,40447,BSP,39442,1005,0.6
294,Balrampur,SP,47120,BJP,28858,18262,11.23
295,Mehnaun,SP,71667,BSP,38623,33044,18.46
296,Gonda,SP,62058,BJP,47203,14855,8.91
297,Katra Bazar,BJP,65355,BSP,58408,6947,3.54
298,Colonelganj,SP,67723,BSP,56002,11721,7.51
299,Tarabganj,SP,52395,BSP,47215,5180,2.78
300,Mankapur,SP,78311,BSP,51141,27170,17.41
