const_id,const_name,category,gender,party,muslim
349,Phoolpur Pawai,GEN,M,SP,TRUE
256,Phulpur,GEN,M,SP,TRUE
127,Pilibhit,GEN,M,SP,TRUE
384,Pindra,GEN,M,INC,TRUE
321,Pipraich,GEN,F,SP,TRUE
134,Powayan,S.C.,F,SP,TRUE
248,Pratapgarh,GEN,M,SP,TRUE
257,Pratappur,GEN,F,SP,TRUE
129,Puranpur,S.C.,M,SP,TRUE
13,Purqazi,S.C.,M,BSP,TRUE
167,Purwa,GEN,M,SP,TRUE
180,Rae Bareli,GEN,M,PECP,TRUE
335,Ramkola,S.C.,M,SP,TRUE
267,Ramnagar,GEN,M,SP,TRUE
37,Rampur,GEN,M,SP,TRUE
339,Rampur Karkhana,GEN,F,SP,TRUE
244,Rampur Khas,GEN,M,INC,TRUE
6,Rampur Maniharan,S.C.,M,BSP,TRUE
250,Raniganj,GEN,M,SP,TRUE
358,Rasara,GEN,M,BSP,TRUE
205,Rasulabad,S.C.,M,SP,TRUE
229,Rath,S.C.,M,INC,TRUE
401,Robertsganj,GEN,M,SP,TRUE
387,Rohaniya,GEN,F,AD,TRUE
271,Rudauli,GEN,M,BJP,TRUE
309,Rudhauli,GEN,M,INC,TRUE
336,Rudrapur,GEN,M,INC,TRUE
79,Sadabad,GEN,M,SP,TRUE
189,Sadar,GEN,M,SP,TRUE
163,Safipur,S.C.,M,SP,TRUE
345,Sagri,GEN,M,SP,TRUE
324,Sahajanwa,GEN,M,BSP,TRUE
4,Saharanpur,GEN,M,BSP,TRUE
3,Saharanpur Nagar,GEN,M,BJP,TRUE
113,Sahaswan,GEN,M,SP,TRUE
55,Sahibabad,GEN,M,BSP,TRUE
374,Saidpur,S.C.,M,SP,TRUE
382,Saiyadraja,GEN,M,IND,TRUE
381,Sakaldiha,GEN,M,IND,TRUE
341,Salempur,S.C.,M,SP,TRUE
181,Salon,S.C.,F,SP,TRUE
33,Sambhal,GEN,M,SP,TRUE
