const_id,const_name,party,gender,category,muslim,C&G,G&M,M&C
237,Manikpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
238,Jahanabad,Apna Dal (Soneylal),M,GEN,FALSE,FALSE,FALSE,FALSE
239,Bindki,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
240,Fatehpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
241,Ayah Shah,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
242,Husainganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
243,Khaga,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
244,Rampur Khas,INC,F,GEN,FALSE,FALSE,FALSE,FALSE
245,Babaganj,IND,M,S.C.,FALSE,FALSE,FALSE,FALSE
246,Kunda,IND,M,GEN,FALSE,FALSE,FALSE,FALSE
247,Vishwanathganj,Apna Dal (Soneylal),M,GEN,FALSE,FALSE,FALSE,FALSE
248,Pratapgarh,Apna Dal (Soneylal),M,GEN,FALSE,FALSE,FALSE,FALSE
249,Patti,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
250,Raniganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
251,Sirathu,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
252,Manjhanpur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
253,Chail,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
254,Phaphamau,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
255,Soraon,Apna Dal (Soneylal),M,S.C.,FALSE,FALSE,FALSE,FALSE
256,Phulpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
257,Pratappur,BSP,M,GEN,TRUE,FALSE,FALSE,FALSE
258,Handia,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
259,Meja,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
260,Karachhana,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
261,Allahabad West,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
262,Allahabad North,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
