const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
200,Mehnagar,S.C.,F,BSP,FALSE,TRUE,FALSE,FALSE
201,Lalganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
202,Mubarakpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
203,Mohammadabad Gohna,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
204,Mau,GEN,M,IND,TRUE,FALSE,FALSE,TRUE
205,Rasra,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
206,Siar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
207,Chilkahar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
208,Sikanderpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
209,Bansdih,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
210,Doaba,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
211,Ballia,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
212,Kopachit,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
213,Zahoorabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
214,Mohammadabad,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
215,Dildarnagar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
216,Zamania,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
217,Ghazipur,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
218,Jakhania,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
219,Sadat,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
220,Saidpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
221,Dhanapur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
222,Chandauli,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
223,Chakia,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
224,Mughalsarai,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
225,Varanasi Cantonment,GEN,F,BJP,FALSE,FALSE,FALSE,FALSE
226,Varanasi South,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
227,Varanasi North,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
228,Chiraigaon,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
229,Kolasla,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
230,Gangapur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
231,Aurai,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
232,Gyanpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
233,Bhadohi,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
234,Barsathi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
235,Mariahu,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
236,Kerakat,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
237,Beyalsi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
238,Jaunpur,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
239,Rari,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
240,Shahganj,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
241,Khutahan,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
242,Garwara,GEN,F,BJP,FALSE,FALSE,FALSE,FALSE
243,Machhlishahr,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
244,Dudhi,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
245,Robertsganj,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
246,Rajgarh,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
247,Chunar,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
248,Majhwa,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
249,Mirzapur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
250,Chhanbey,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
251,Meja,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
252,Karchana,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
253,Bara,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
254,Jhusi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
255,Handia,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
256,Pratappur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
257,Soraon,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
258,Nawabganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
259,Allahabad North,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
260,Allahabad South,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
261,Allahabad West,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
262,Chail,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
263,Manjhanpur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
264,Sirathu,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
265,Khaga,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
266,Kishunpur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
267,Haswa,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
268,Fatehpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
269,Jahanabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
270,Bindki,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
271,Arya Nagar,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
272,Sishamau,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
273,Generalganj,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
274,Kanpur Cantonment,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
275,Govind Nagar,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
276,Kalyanpur,GEN,F,BJP,FALSE,FALSE,FALSE,FALSE
277,Sarsaul,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
278,Ghatampur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
279,Bhognipur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
280,Rajpur,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
281,Sarvankhera,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
282,Chaubepur,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
283,Bilhaur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
284,Derapur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
285,Auraiya,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
286,Ajitmal,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
287,Lakhana,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
288,Etawah,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
289,Jaswantnagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
290,Bharthana,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
291,Bidhuna,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
292,Kannauj,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
293,Umardha,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
294,Chhibramau,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
295,Kamalganj,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
296,Farrukhabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
297,Kaimganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
298,Mohammdabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
299,Manikpur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
300,Karwi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
301,Baberu,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
302,Tindwari,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
303,Banda,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
304,Naraini,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
305,Hamirpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
306,Maudaha,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
307,Rath,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
308,Charkhari,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
309,Mahoba,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
310,Mehroni,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
311,Lalitpur,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
312,Jhansi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
313,Babina,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
314,Mauranipur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
315,Garoutha,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
316,Konch,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
317,Orai,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
318,Kalpi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
319,Madhogarh,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
320,Bhongaon,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
321,Kishni,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
322,Karhal,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
323,Shikohabad,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
324,Jasrana,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
