candidate_id,state_name,constituency_number,candidate_name_eci,sitting_mla,adr_party,eci_party,education,age,assets_number,liabilities_number,assets_minus_liabilities,criminal_cases,gender
3569,Uttar Pradesh,206,RAMCHANDRA,,Vikas Party,Vikas Party,5th Pass,70,105000,0,105000,0,M
3570,Uttar Pradesh,206,SHANTEE,,Shoshit Samaj Dal,Shoshit Samaj Dal,Literate,46,1442000,0,1442000,0,F
3571,Uttar Pradesh,206,SURENDRA KUMAR GUPTA,,Jan Adhikar Manch,Jan Adhikar Manch,10th Pass,48,15926000,1460078,14465922,0,M
3572,Uttar Pradesh,206,VIJAY LAXMI,,Lok Dal,Lok Dal,10th Pass,54,7893000,0,7893000,0,F
5096,Uttar Pradesh,279,ANEETA,,BJP,Bharatiya Janata Party,Post Graduate,31,1037549,26000,1011549,0,F
5097,Uttar Pradesh,279,ASHARAM,,IND,Independent,10th Pass,46,204000,0,204000,0,M
5098,Uttar Pradesh,279,CHHOTELAL,,Peace Party,Peace Party,8th Pass,45,50500,0,50500,0,M
5099,Uttar Pradesh,279,R C GOND,,Rashtriya Janadhar Party,Rashtriya Janadhar Party,Post Graduate,62,2090968,26000,2064968,0,M
5100,Uttar Pradesh,279,RAJKUMAR,,Rashtriya mahan Gantantra Party,Rashtriya mahan Gantantra Party,Post Graduate,40,22045000,0,22045000,0,M
5101,Uttar Pradesh,279,RAJMANI,,Bahujan Mukti Party,Bahujan Mukti Party,8th Pass,49,1710757,800000,910757,0,M
5102,Uttar Pradesh,279,RAMESH KUMAR,,Uttar Pradesh Republican Party,Uttar Pradesh Republican Party,5th Pass,36,1000,0,1000,0,M
5103,Uttar Pradesh,279,SANGEETA,,SP,Samajwadi Party,8th Pass,40,3446505,2050000,1396505,0,F
5104,Uttar Pradesh,279,SUMPATTI DEVI,,IND,Independent,Illiterate,38,291000,0,291000,0,F
5105,Uttar Pradesh,279,TRIBHUWAN DUTT,,BSP,Bahujan Samaj Party,12th Pass,52,34350575,10241305,24109270,0,M
2554,Uttar Pradesh,103,AWADHPAL SINGH YADAV,,BSP,Bahujan Samaj Party,12th Pass,56,"2,43,83,005",4000000,20383005,36,M
2555,Uttar Pradesh,103,DILIP KUMAR,,IND,Independent,8th Pass,48,2614826,100000,2514826,2,M
2556,Uttar Pradesh,103,GURUDEV SINGH,,IND,Independent,10th Pass,41,"39,50,000",0,3950000,0,M
2557,Uttar Pradesh,103,HARVESH,,IND,Independent,Graduate,38,198000,0,198000,0,M
2558,Uttar Pradesh,103,KAMLESH MISHRA,,IND,Independent,12th Pass,,171000,0,171000,0,M
2559,Uttar Pradesh,103,MUKESH,,IND,Independent,Graduate,,235300,0,235300,0,M
2560,Uttar Pradesh,103,OMPAL SINGH YADAV,,IND,Independent,12th Pass,42,14982000,400000,14582000,0,M
2561,Uttar Pradesh,103,PHOOL SINGH,,IND,Independent,8th Pass,33,40000,0,40000,0,M
2562,Uttar Pradesh,103,RAGHVEDRA SINGH,,IND,Independent,Graduate,36,1450000,0,1450000,3,M
2563,Uttar Pradesh,103,RAM BRIJESH,,IND,Independent,Post Graduate,50,9130000,300000,8830000,4,M
2564,Uttar Pradesh,103,RAM KISHORE,,Mahan Dal,Mahan Dal,10th Pass,50,19569576,7090487,12479089,21,M
2565,Uttar Pradesh,103,RAMESHWAR SINGH YADAV,Y,SP,Samajwadi Party,10th Pass,65,159904238,3877840,156026398,4,M
2566,Uttar Pradesh,103,SATYAPAL SINGH RATHAUR,,BJP,Bharatiya Janata Party,10th Pass,59,14270061,2490045,11780016,0,M
2567,Uttar Pradesh,103,SUKHVIR,,IND,Independent,10th Pass,31,360000,0,360000,0,M
2228,Uttar Pradesh,76,ATUL GOSWAMI,,Lok Dal,Lok Dal,Not Given,35,130000,0,130000,0,M
2229,Uttar Pradesh,76,DR. L.B DAYASHANKAR,,IND,Independent,Graduate Professional,38,4250000,0,4250000,0,M
2230,Uttar Pradesh,76,GULZAR AHMAD,,Peace Party,Peace Party,5th Pass,,60300,0,60300,0,M
2231,Uttar Pradesh,76,KASHAV DEV,,IND,Independent,Illiterate,,260000,0,260000,0,M
2232,Uttar Pradesh,76,LAV KUMAR BANSAL,,RLD,Rashtriya Lok Dal,Graduate Professional,,1806500,300000,1506500,0,M
2233,Uttar Pradesh,76,MOHD ARIF,,BSP,Bahujan Samaj Party,12th Pass,42,16647050,7233003,9414047,0,M
2234,Uttar Pradesh,76,PREM PAL,,RPI(A),Republican Party of India (A),Graduate,51,135500,0,135500,0,M
2235,Uttar Pradesh,76,RAJKUMAR,,Swatantra Jantaraj Party,Swatantra Jantaraj Party,12th Pass,32,403000,0,403000,0,M
2236,Uttar Pradesh,76,SANJEEV KUMAR,,IND,Independent,8th Pass,34,3205000,0,3205000,0,M
2237,Uttar Pradesh,76,SANJEEV RAJA,,BJP,Bharatiya Janata Party,Graduate Professional,55,5662520,0,5662520,5,M
2238,Uttar Pradesh,76,ZAFAR ALAM,Y,SP,Samajwadi Party,Graduate,72,409469000,306000,409163000,0,M
4403,Uttar Pradesh,262,ABHINAV SRIVASTAVA,,IND,Independent,12th Pass,42,912132,288000,624132,0,M
4404,Uttar Pradesh,262,AJAY KUMAR,,RPI(A),Republican Party of India (A),Graduate,53,1321038,0,1321038,0,M
4405,Uttar Pradesh,262,AMIT,,BSP,Bahujan Samaj Party,Graduate,37,54746500,15468943,39277557,0,M
4406,Uttar Pradesh,262,ANSHU TRIPATHI,,IND,Independent,Doctorate,38,739283,0,739283,0,F
4407,Uttar Pradesh,262,ANUGRAH NARAIN SINGH,,INC,Indian National Congress,Graduate Professional,66,11955375,0,11955375,0,M
4408,Uttar Pradesh,262,ASHUTOOSH BAJPAI,,Sarvajan Kalyan Loktantrik Party,Sarvajan Kalyan Loktantrik Party,Post Graduate,29,5500,0,5500,0,M
4409,Uttar Pradesh,262,BADAL CHATTERJEE,,IND,Independent,Post Graduate,62,83477458,430201,83047257,0,M
4410,Uttar Pradesh,262,BHAIYA RAM YADAV,,IND,Independent,Literate,42,399357,0,399357,0,M
4411,Uttar Pradesh,262,DHIRAJ KUMAR AGRAWAL,,IND,Independent,Post Graduate,45,6697000,0,6697000,0,M
4412,Uttar Pradesh,262,HARSHVARDHAN BAJPAI,,BJP,Bharatiya Janata Party,Graduate Professional,36,74228789,0,74228789,1,M
4413,Uttar Pradesh,262,INDRESH KUMAR SONKAR,,IND,Independent,Post Graduate,48,503000,100000,403000,1,M
4414,Uttar Pradesh,262,MADHU SINGH,,IND,Independent,Graduate,34,1020000,0,1020000,0,F
4415,Uttar Pradesh,262,MRIGANK SHEKHAR SINGH,,Lok Gathbandhan Party,Lok Gathbandhan Party,Graduate Professional,44,1355400,37200,1318200,0,M
4416,Uttar Pradesh,262,PRAVEEN KUMAR SRIVASTAVA,,IND,Independent,Graduate,50,250000,0,250000,0,M
4417,Uttar Pradesh,262,PUSHPENDRA KUMAR,,IND,Independent,Graduate,34,41227,0,41227,0,M
4418,Uttar Pradesh,262,RAJESH YADAV,,IND,Independent,Graduate,37,3201075,0,3201075,0,M
4419,Uttar Pradesh,262,RAMAKANT,,IND,Independent,Graduate,50,320944,0,320944,0,M
4420,Uttar Pradesh,262,RITESH KUMAR,,IND,Independent,Post Graduate,38,763215,0,763215,0,M
4421,Uttar Pradesh,262,SHAILENDRA KUMAR PRAJAPATI,,IND,Independent,12th Pass,,146000,0,146000,0,M
4422,Uttar Pradesh,262,SHARAD KHARE,,Rashtravadi Pratap Sena,Rashtravadi Pratap Sena,Post Graduate,39,162157,0,162157,0,M
4423,Uttar Pradesh,262,SHAURYA DEEP,,IND,Independent,Graduate,32,4564000,0,4564000,0,M
