const_id,const_name,category,gender,party,muslim
282,BALHA,S.C.,M,BJP,FALSE
283,Nanpara,GEN,F,BJP,FALSE
284,Matera,GEN,M,SP,TRUE
285,Mahasi,GEN,M,BJP,FALSE
286,Bahraich,GEN,F,BJP,FALSE
287,Payagpur,GEN,M,BJP,FALSE
288,Kaiserganj,GEN,M,BJP,FALSE
289,Bhinga,GEN,M,BSP,TRUE
290,Shrawasti,GEN,M,BJP,FALSE
291,Tulsipur,GEN,M,BJP,FALSE
292,Gainsari,GEN,M,BJP,FALSE
293,Utraula,GEN,M,BJP,FALSE
294,Balrampur,S.C.,M,BJP,FALSE
295,Mehnaun,GEN,M,BJP,FALSE
296,Gonda,GEN,M,BJP,FALSE
297,Katra Bazar,GEN,M,BJP,FALSE
298,Colonelganj,GEN,M,BJP,FALSE
299,Tarabganj,GEN,M,BJP,FALSE
300,Mankapur,S.C.,M,BJP,FALSE
301,Gaura,GEN,M,BJP,FALSE
302,Shohratgarh,GEN,M,Apna Dal (Soneylal),FALSE
303,Kapilvastu,S.C.,M,BJP,FALSE
304,Bansi,GEN,M,BJP,FALSE
305,Itwa,GEN,M,BJP,FALSE
306,Doomariyaganj,GEN,M,BJP,FALSE
307,Harraiya,GEN,M,BJP,FALSE
308,Kaptanganj,GEN,M,BJP,FALSE
309,Rudhauli,GEN,M,BJP,FALSE
310,Basti Sadar,GEN,M,BJP,FALSE
311,Mahadewa,S.C.,M,BJP,FALSE
312,MENHDAWAL,GEN,M,BJP,FALSE
313,KHALILABAD,GEN,M,BJP,FALSE
314,Dhanghata,S.C.,M,BJP,FALSE
315,Pharenda,GEN,M,BJP,FALSE
316,Nautanwa,GEN,M,IND,FALSE
317,Siswa,GEN,M,BJP,FALSE
318,Maharajganj,S.C.,M,BJP,FALSE
319,Paniyara,GEN,M,BJP,FALSE
320,Caimpiyarganj,GEN,M,BJP,FALSE
321,Pipraich,GEN,M,BJP,FALSE
322,Gorakhpur Urban,GEN,M,BJP,FALSE
323,Gorakhpur Rural,GEN,M,BJP,FALSE
324,Sahajanwa,GEN,M,BJP,FALSE
325,Khajani,S.C.,M,BJP,FALSE
326,Chauri-Chaura,GEN,F,BJP,FALSE
327,Bansgaon,S.C.,M,BJP,FALSE
328,Chillupar,GEN,M,BSP,FALSE
329,Khadda,GEN,M,BJP,FALSE
330,Padrauna,GEN,M,BJP,FALSE
331,Tamkuhi Raj,GEN,M,INC,FALSE
332,Fazilnagar,GEN,M,BJP,FALSE
333,Kushinagar,GEN,M,BJP,FALSE
334,Hata,GEN,M,BJP,FALSE
335,Ramkola,S.C.,M,Suheldev Bhartiya Samaj Party,FALSE
336,Rudrapur,GEN,M,BJP,FALSE
337,Deoria,GEN,M,BJP,FALSE
338,Pathardeva,GEN,M,BJP,FALSE
339,Rampur Karkhana,GEN,M,BJP,FALSE
340,Bhatpar Rani,GEN,M,SP,FALSE
341,Salempur,S.C.,M,BJP,FALSE
342,Barhaj,GEN,M,BJP,FALSE
343,Atrauliya,GEN,M,SP,FALSE
344,Gopalpur,GEN,M,SP,TRUE
345,Sagri,GEN,F,BSP,FALSE
346,Mubarakpur,GEN,M,BSP,FALSE
347,Azamgarh,GEN,M,SP,FALSE
348,Nizamabad,GEN,M,SP,TRUE
349,Phoolpur Pawai,GEN,M,BJP,FALSE
350,Didarganj,GEN,M,BSP,FALSE
351,Lalganj,S.C.,M,BSP,TRUE
352,Mehnagar,S.C.,M,SP,FALSE
353,Madhuban,GEN,M,BJP,FALSE
354,Ghosi,GEN,M,BJP,FALSE
355,Muhammadabad- Gohna (SC),S.C.,M,BJP,FALSE
356,Mau,S.C.,M,BSP,TRUE
357,Belthara Road,S.C.,M,BJP,FALSE
358,Rasara,GEN,M,BSP,FALSE
359,Sikanderpur,GEN,M,BJP,FALSE
360,Phephana,GEN,M,BJP,FALSE
361,Ballia Nagar,GEN,M,BJP,FALSE
362,Bansdih,GEN,M,SP,FALSE
363,Bairia,GEN,M,BJP,FALSE
364,Badlapur,GEN,M,BJP,FALSE
365,Shahganj,GEN,M,SP,FALSE
366,Jaunpur,GEN,M,BJP,FALSE
367,Malhani,GEN,M,SP,FALSE
368,Mungra Badshahpur,GEN,F,BSP,FALSE
369,Machhlishahr S.C.,S.C.,M,SP,FALSE
370,Mariyahu,GEN,M,Apna Dal (Soneylal),FALSE
371,Zafrabad,GEN,M,BJP,FALSE
372,Kerakat S.C.,S.C.,M,BJP,FALSE
373,Jakhanian,S.C.,M,Suheldev Bhartiya Samaj Party,FALSE
374,Saidpur,S.C.,M,SP,FALSE
375,Ghazipur,GEN,F,BJP,FALSE
376,Jangipur,GEN,M,SP,FALSE
377,Zahoorabad,GEN,M,Suheldev Bhartiya Samaj Party,FALSE
378,Mohammadabad,GEN,F,BJP,FALSE
379,Zamania,GEN,F,BJP,FALSE
380,Mughalsarai,GEN,F,BJP,FALSE
381,Sakaldiha,GEN,M,SP,FALSE
382,Saiyadraja,GEN,M,BJP,FALSE
383,Chakia,S.C.,M,BJP,FALSE
384,Pindra,GEN,M,BJP,FALSE
385,Ajagara,S.C.,M,Suheldev Bhartiya Samaj Party,FALSE
386,Shivpur,GEN,M,BJP,FALSE
387,Rohaniya,GEN,M,BJP,FALSE
388,Varanasi North,GEN,M,BJP,FALSE
389,Varanasi South,GEN,M,BJP,FALSE
390,Varanasi Cantt.,GEN,M,BJP,FALSE
391,Sevapuri,GEN,M,Apna Dal (Soneylal),FALSE
392,Bhadohi,GEN,M,BJP,FALSE
393,Gyanpur,GEN,M,Nirbal Indian Shoshit Hamara Aam Dal,FALSE
394,Aurai,S.C.,M,BJP,FALSE
395,Chhanbey,S.C.,M,Apna Dal (Soneylal),FALSE
396,Mirzapur,GEN,M,BJP,FALSE
397,Majhawan,GEN,F,BJP,FALSE
398,Chunar,GEN,M,BJP,FALSE
399,Marihan,GEN,M,BJP,FALSE
400,Ghorawal,GEN,M,BJP,FALSE
401,Robertsganj,GEN,M,BJP,FALSE
402,Obra,GEN,M,BJP,FALSE
403,Duddhi,GEN,M,Apna Dal (Soneylal),FALSE
