const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
180,Rae Bareli,GEN,M,PECP,FALSE,FALSE,FALSE,FALSE
181,Salon,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
182,Sareni,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
183,Unchahar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
184,Jagdishpur,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
185,Gauriganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
186,Amethi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
187,Isauli,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
188,Sultanpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
189,Sadar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
190,Lambhua,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
191,Kadipur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
192,Kaimganj,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
193,Amritpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
194,Farrukhabad,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
195,Bhojpur,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
196,Chhibramau,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
197,Tirwa,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
198,Kannauj,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
199,Jaswantnagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
200,Etawah,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
201,Bharthana,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
202,Bidhuna,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
203,Dibiyapur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
204,Auraiya,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
205,Rasulabad,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
206,Akbarpur Raniya,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
207,Sikandra,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
208,Bhognipur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
209,Bilhaur,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
210,Bithoor,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
211,Kalyanpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
212,Govind Nagar,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
213,Sishamau,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
214,Arya Nagar,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
215,Kidwai Nagar,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
216,Kanpur Cantt.,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
217,Maharajpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
218,Ghatampur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
219,Madhogarh,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
220,Kalpi,GEN,F,INC,FALSE,FALSE,FALSE,FALSE
221,Orai,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
222,Babina,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
223,Jhansi Nagar,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
224,Mauranipur,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
225,Garautha,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
226,Lalitpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
227,Mehroni,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
228,Hamirpur,GEN,F,BJP,FALSE,FALSE,FALSE,FALSE
229,Rath,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
230,Mahoba,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
231,Charkhari,GEN,F,BJP,FALSE,FALSE,FALSE,FALSE
232,Tindwari,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
233,Baberu,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
234,Naraini,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
235,Banda,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
236,Chitrakoot,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
237,Manikpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
238,Jahanabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
239,Bindki,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
240,Fatehpur,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
241,Ayah Shah,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
242,Husainganj,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
243,Khaga,S.C.,F,BJP,FALSE,TRUE,FALSE,FALSE
244,Rampur Khas,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
245,Babaganj,S.C.,M,IND,FALSE,FALSE,FALSE,FALSE
246,Kunda,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
247,Bishwavnathganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
